epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,193.969,0.73862,0.77271,0.87488,0.91593,0.79825,0.93327,0.68115,0.97781,0.63829,0.96785,0.000299713,0.000299713,0.000299713
99,195.863,0.73657,0.71147,0.86908,0.90121,0.80171,0.91888,0.67136,0.96914,0.62848,0.96432,0.000294216,0.000294216,0.000294216
100,197.684,0.74695,0.70965,0.85882,0.76142,0.88257,0.93492,0.68744,0.95745,0.61367,0.95522,0.000288718,0.000288718,0.000288718
101,199.538,0.76415,0.71232,0.87798,0.77489,0.88395,0.93608,0.68447,0.95505,0.6117,0.95598,0.00028322,0.00028322,0.00028322
102,201.351,0.76339,0.72673,0.87242,0.7763,0.89497,0.92994,0.67374,0.95329,0.6185,0.95877,0.000277722,0.000277722,0.000277722
103,203.185,0.71309,0.67376,0.85516,0.88208,0.80962,0.93059,0.65034,0.93022,0.65343,0.9572,0.000272224,0.000272224,0.000272224
104,205.119,0.70758,0.68497,0.85489,0.75201,0.92574,0.93842,0.66296,0.91969,0.6615,0.95518,0.000266727,0.000266727,0.000266727
105,207.034,0.71325,0.71718,0.86703,0.8839,0.82035,0.91631,0.67037,0.93036,0.65068,0.96112,0.000261229,0.000261229,0.000261229
106,208.839,0.7272,0.70566,0.85313,0.90134,0.82035,0.92564,0.65782,0.93312,0.64648,0.95851,0.000255731,0.000255731,0.000255731
107,210.808,0.70803,0.67438,0.85099,0.70812,0.92857,0.9252,0.6925,0.92243,0.65185,0.95475,0.000250233,0.000250233,0.000250233
108,212.628,0.73123,0.70045,0.85994,0.7495,0.92076,0.92781,0.69821,0.90795,0.64322,0.95229,0.000244735,0.000244735,0.000244735
109,214.52,0.71537,0.6816,0.871,0.92813,0.78139,0.92771,0.69819,0.89798,0.63156,0.94693,0.000239238,0.000239238,0.000239238
110,216.526,0.66436,0.65789,0.85793,0.75609,0.89737,0.92057,0.68392,0.91672,0.6097,0.94911,0.00023374,0.00023374,0.00023374
111,218.312,0.70796,0.65917,0.8747,0.78786,0.88279,0.93215,0.69633,0.92002,0.58969,0.94667,0.000228242,0.000228242,0.000228242
112,220.196,0.74415,0.68316,0.86892,0.79027,0.88361,0.93285,0.69611,0.91081,0.59042,0.94329,0.000222744,0.000222744,0.000222744
113,222.006,0.72299,0.66975,0.85833,0.77564,0.92516,0.94488,0.68035,0.91684,0.60146,0.94916,0.000217246,0.000217246,0.000217246
114,223.813,0.71481,0.65637,0.86847,0.7794,0.94113,0.94724,0.68129,0.91496,0.60593,0.95004,0.000211749,0.000211749,0.000211749
115,225.791,0.67861,0.62392,0.85744,0.77725,0.93939,0.93877,0.67572,0.92269,0.6095,0.9556,0.000206251,0.000206251,0.000206251
116,227.607,0.6889,0.64139,0.85096,0.77941,0.91396,0.91482,0.64945,0.93698,0.62592,0.96083,0.000200753,0.000200753,0.000200753
117,229.578,0.69065,0.6518,0.84266,0.77625,0.93939,0.93349,0.6424,0.93572,0.62566,0.95803,0.000195255,0.000195255,0.000195255
118,231.735,0.71312,0.69595,0.86596,0.93719,0.81041,0.90279,0.65332,0.93874,0.6351,0.95955,0.000189757,0.000189757,0.000189757
119,233.685,0.6803,0.64887,0.84967,0.88944,0.81303,0.87578,0.63462,0.9305,0.65091,0.96101,0.00018426,0.00018426,0.00018426
